name	mz	rt	D121	A122	A125	A126	A127	A128	B131	B132	B133	B134	B135	B136	C138	C139	C140	C157	C158	C159	C160	D202	D203	D205	A206	D207	D208	E211	E213	E214	E215	E216	H234	H235	H236	H237	H238	H239	H240
M201T55	201.0874552	55.2489942	3167292.2	3766319.65	3337709.068	4875408.526	4692070.264	2838261.996	1732400.89	4127372.711	3383917.877	5805304.948	3666580.417	6717978.283			2479052.633	2220341.723	4309854.841	1441970.783		2313448.236	2478353.491	2393883.866	4282871.974		1398405.376	2674146.87	2010848.18		4292360.651	4265909.472	4513936.338		1783090.964	4395531.983	4248334.48	1304348.021	667116.3056
M201T195	201.1238764	194.907177	541507.6707	1592934.375	1147459.53	2227659.802	2873320.102	1206737.887	3352012.541	2381306.091	1741341.836			2527546.687	1512298.157	2224176.982	1277986.37	525627.4925		745388.5487	1950238.783	1186992.355		785661.1647	1667131.048	3400555.015	962855.4118	1470679.792	352146.5027	1860642.789	2478959.875	1601494.009	1468948.704	1147042.805	899478.9141	2123229.102	1379667.719		
M201T43	201.463316	42.8448984	26120.87097		491096.2986	75966.31728	187491.4218	92282.71328			275765.9084		399391.6222		300501.3737	44825.08738	509239.5018	268363.1761	228723.2289	408158.1239	253870.7481	135407.3246	350177.4705	108037.8842		675309.9941	379411.1571	422919.1842	498433.4178	936536.6602	242227.2937	611760.2016	27260.44094	676893.2712	472744.4554	369840.8486	548921.862	1082261.009	349894.8877
M202T46_2	202.0691777	46.316232	626319.7437	309053.5985	551904.9581	522330.5736	399730.7641	316592.6799	356644.3971		435867.1179	726423.0145	248856.31	283703.969		259358.0218		111198.6693	578882.6692	98055.94065	500080.0903	528561.5297	494360.6079	38284.27274	585964.8857		208867.1103		457242.4953	318062.6192	717046.7522	372062.3377	788663.6125		1411505.904	915246.2384	122283.5294	225619.1465	177261.5934
M202T52	202.0828503	52.3473582		384609.9009	405781.6996	404482.5645	1464205.639	255926.2951	279627.0386		169549.1371	915244.2644	146797.7761	450225.2644	672093.1327	414597.4043	2303468.777	129640.6457		141101.6981		106419.8559	120826.4567	167168.1775	1352738.103	711345.4878	185893.223	5768067.686	59566.52285	767297.6806	316974.2493	301353.9887	205013.659	480171.3884	120736.6081		3504054.956	456150.0241	
M202T68_2	202.1807608	68.243313	85993.19519	160112.628	61506.52282	147798.805			384715.3207	188632.0336	279325.6552	98267.7406	121993.439	83078.19742	57842.72574		48779.74011	39669.28123	45720.45027	82393.68597	121366.4012	101591.8667	91979.19356	80647.61816	666241.0007		877659.3862	36309.114	53861.51488	33365.05847	78130.70688	38096.30559		29641.33386	105293.9817	50385.19736		128151.6283	395597.6357
M203T46	202.9183115	46.3726398	167979.522	89428.90086		131519.484	426913.4028	539567.7547	571023.0585	1148377.874	218969.1551	155756.7322	85043.68234	696354.0842	96624.86015	570465.994		353811.284	118921.134		576354.2333	131851.0856			204176.6913	337420.9645	185236.8933	1354299.612	79702.00484	450548.037	258379.4026	177278.9884	947512.4509	1430202.946	80665.11199	166707.2715	572979.1902		233307.1759
M203T126_1	203.0232273	126.070062	172408.489		107909.2616	297294.7164	309295.1871	153150.9207	320095.0157	126074.7942	163747.1994	125650.4916	108077.6675	407689.9267	89708.53879	192360.3172	119526.2925	140299.9096	260184.5623	86088.40968	116139.8736	136490.7391	199718.1314	122033.4863		162014.5447	174128.8658	173135.9621	54499.3528	301116.164	293210.27	147795.6712			159618.7901	321129.0044		80059.45972	
M204T69	204.0425368	69.411	199200.0414		181330.7636	181949.0385		472876.2788	296018.5005	140789.335	520780.7631	247697.5286	151783.0253		264189.9842	285514.6621	430814.0223	158607.9163		261102.0516	76019.07719	302009.3256	176530.3698	118185.1511	267063.7971		197889.1106	358209.3411	144933.0825	222960.0983	393947.7359	312771.6459		430860.8753	449042.9073	395151.915	194522.5143	210022.2759	86412.08039
M204T47_2	204.0564828	47.0127318	930270.087	238731.4506	590261.3752	429485.4836	464914.6502	213583.7	257586.2464	61459.08213	452315.5626	3422287.858	532835.3524	392036.5496		304819.4157		299535.1242	415610.509	121752.448	481535.6119	418209.956	547189.8561	121287.2899	403538.3603		226521.9216		392298.2898	1050726.856	694491.5553	452836.2985	588297.5409		1048597.129	666822.8891		263867.282	497085.5517
