name	mz	rt	D121	A122	A125	A126	A127	A128	B131	B132	B133	B134	B135	B136	C138	C139	C140	C157	C158	C159	C160	D202	D203	D205	A206	D207	D208	E211	E213	E214	E215	E216	H234	H235	H236	H237	H238	H239	H240
M102T899	102.0341529	898.85016	14045836.33	3689952.544	3598362.963	11388747.45	4887524.252	2104782.427	7288257.536	3136744.781		3111839.487	5824075.244		2600568.746	3321770.65	15442209.34		2258913.086	7686690.444		3788432.453	6337040.844	1231048.855	6867952.021	2416387.172	4017256.074	906696.0594	6251801.071	3125203.48	3608368.61		4763810.509	2281364.741		3404449.732	3720440.83	453903.1617	
M102T849	102.0341535	849.08535	14739610.74		5934387.277		4607623.764	5969186.111	3367949.296	6453844.277	5681369.224	874048.4812		7756306.284	10009588.64	7660196.149	10987972.65	5631630.548	5335856.649	732305.3181	6682820.384	1721114.182	9557621.902	6917155.809		5587057.101	3693918.27	5346684.868	3564733.822	12760058.6	14907703.46	2880141.867	4263576.643				4437696.548	6777076.231	6341930.491
M105T45	105.0426767	45.3539421	552086.5013	181327.9464	273492.2875	234265.5078	62413.94793	106827.7082	119245.1405		188861.8054	234210.7123	162830.7113	79532.13116		116733.7594		137365.5708	208058.6109	121675.953	160564.9602	238307.5432	371034.8285	102447.4364	338356.386		95854.69653		338316.6266	30929.45861	178832.3549	181079.3834	322525.58		373477.7669	193534.9088		109470.4773	194673.17
M105T54	105.0549607	54.350049	666963.5361	4833251.083	2137479.326	1552473.472	1753294.327	2301363.34			1154528.248	1997405.031	1256687.782	1705077.094	1187476.039	2077118.73	1115846.16		1668333.077	962686.0311		1339376.94	936705.3684	756879.1669	5342043.882	2950819.013	981515.9353	1093437.231	1070320.231	1186390.344	3001166.85	2558920.51			1695459.941		1834140.056	1029692.277	438261.8312
M105T48_1	105.0742159	47.5386255	631011.334		519930.2488	430256.6195	565014.0777	363540.5532	1096529.522	730909.2259	443413.7124	180652.1218	351727.6368		835125.0494	1493073.018	446448.8334	895208.3542	722110.1777	651923.6993	679133.0411	1162638.524	429670.5402		250006.1349	709632.6932	430218.0399		316129.6052	788274.7589		982208.9908	497440.2679	360454.1305	1340655.87			602020.2664	359765.5371
M107T771	106.9508596	771.19158	65843.29229	72107.49961	78150.52661	73634.65816		84518.61415	65053.92952	84982.18741	104903.3018	61448.77367	35111.18282			73129.56433	56935.94153	43178.16733				38480.57268	89671.78198	49763.44135	74873.57928	54265.40564	64737.25678	85952.80255	69134.17725	55852.81505	66288.78281	61766.66994	62461.72232	83865.40719	60887.0162	80984.1798	87860.94645		57311.69708
M110T268	110.0684033	268.015992	129765.3956	367794.8353			1203680.93	896963.4028	942937.4338		747820.3028	124720.6625		755249.3396	175430.6328		214412.9551	406327.5084	470513.8503	238632.5414	456289.4088	319639.3384	391790.8182		418437.0922	368687.7413	251942.9476	748861.9185	308642.8187	205565.3983	219467.1915	168136.4919		626500.2874	141098.0996	744634.7074	470897.0821	176975.2799	89078.35468
M113T104	113.0600174	103.801743		1181446.696			3283834.302	1585043.046	2645968.789	2622172.037	1873728.052	2018753.603	1337980.947	3626821.379	1214501.385	1736820.869	1107200.479		2061336.101	634246.7484	2220240.934	1117529.38		1002582.736	1367372.604	3865005.379	1003140.521	2178064.604		3182692.912	2436241.901	1669892.821	2268857.829	2146211.926	1352715.223	1943762.337	2014889.828	869830.0407	
M113T285	113.0959919	285.331773	102231.1995	322078.495	216512.5266	229279.5593	475745.368	208003.666	501374.4047	276846.9562		163035.6881	82287.28535	564305.0258	122878.7812	255739.1167	46740.71765	109354.4908		88912.65211	604010.0265	226671.2763	60418.03226			887905.0081	180010.6049	195160.3554		67000.28872	449084.2551	128653.3778	397741.3588			157923.7303	334342.7134	72819.5247	32572.34031
M114T777	113.940533	776.76	390017.0849	303307.9443	335651.0435	372128.3852	286368.4883			312525.4921		372732.0195	253491.5662	191438.6677	248907.0835	279973.5062	360902.4026	329249.0716		219218.1043	245733.9803	384920.4539	315923.1128	343481.7388	379953.7084	376722.9214		254381.5647	308121.677	191104.1685	384402.2911	304564.6021		322952.82	335539.847	288521.0832		319642.0261	318166.6365
M114T43	114.4978234	42.563967	10792.72721	115462.8899	203525.9862	60537.14423	109107.2802	35558.37674	87984.07109		38278.50815	93593.02372	139728.9341		114327.2451	111160.8808	299164.0257	111835.2399	105541.4063	190205.8658	101783.4183	87400.86697		34484.85358	110526.4414	91816.07335	85819.24423		136509.7423		143005.3199		47316.53932	147938.9113		185107.8303	122186.4106	217940.9059	82721.28558
M120T110_2	120.0739999	110.347164	23908.34519		29350.37193	61047.30186	75037.67123	19557.6744	23530.5142	32737.21299	38988.99817	13692.09252		29306.74919	19130.84687	15424.97031		6313.591903	36602.47202		23448.1384	29565.96896	9616.30789	36247.74786	19246.79853	50778.63554	21740.80396	19791.13909		34906.58438	15952.35973	14751.99284	24893.50945		12445.28597	49090.69595	31846.60691	7367.492981	
M120T55	120.102209	54.7091808	1901977.817	4635634.946	4762351.255	7176450.332			4661453.957	8923162.896	3361529.02	4436049.072	5514391.448	8447090.702	5090871.52		3063689.65	3859887.654	4324581.188		8914327.76		3260634.672	4776906.572	5356399.198	7713313.174	3788024.43	3960964.012	4929771.219	5530644.12		8406944.379	10981978.25	4330710.902	5702120.031	9728476.017	6270104.287	4397058.308	
M121T61	121.0122425	60.813672	97788.39931	177667.1548	152983.532	215504.7977	325259.1703	237363.6918	492312.5624	221285.7063	194313.7477	378607.0416	54877.2458	168287.8402	169519.867	264247.0074	123689.2639		478225.9498		91506.96562	374970.9793	118362.2696	340442.4591	347452.0799	432095.2852	83013.5144	134713.4525	156132.0546	201901.7918	485859.121	125081.2175			103231.3677		106984.618		
M121T269	121.0287232	268.95441	983246.6283	1839108.161	1544160.307	3294974.981	5267201.64	2877093.002	3903721.538	4631775.261	1762069.987	1494670.789	660014.3117	3479794.746	1448147.111	2905342.863	1528610.985		2638188.979	895222.9362	1415630.85	1217906.49		1446929.852	1317531.489	3658129.367		2473262.157			2848966.492	1388120.362	799693.8215	2330458.719	1004410.311	1765723.957	2676524.193		
M121T47_1	121.0992666	47.2655082	180295.6672	175210.967			127162.5226	65945.1865	207233.5626	154344.9921	129815.4805		152105.8267	180498.0668	372302.761		122190.4005	286700.6603		284292.2618		172787.9827	70915.93255	84661.8542	102877.5151	291203.4552	135565.1973	419659.2363	305344.5931	315410.2078	434909.0457	383642.0675	782673.6023	605280.7017	699369.4686	326002.973		220799.782	136291.5683
M122T47	122.1064869	47.2586211	169798.5917	247224.4809			190893.9272	120944.5357	182155.2496	246767.2353			193961.8016		104686.551	204540.1462	214859.3889	69869.15335		320343.6362		167760.1118	112670.416	78759.41747	174911.2987	429117.681	296362.6795	121845.2755	74837.1064	387929.9481	104311.6263	449174.6876	118869.8621	185646.069	160275.7948	320756.2972	257457.277	314838.2305	154441.6062
M123T52	123.011311	51.9089553	562348.2156	825182.5606	385855.3954		243864.004	1294724.585	386433.6069	421592.4112	766174.2244	882541.3604	449414.1077		671866.3723	252041.7077	932695.1271	893081.0351	329866.584	1106847.627		1006806.223	675003.5741	965253.9223	492636.6417		678073.8426	684356.1676	778375.1461	332927.3689	890407.8655	424683.7143		820460.4134	831655.5292			1185308.692	858515.9586
M125T46_2	124.9290816	46.187793		205381.8771	352553.0709	347907.6016	288497.9839	238774.9493	152283.138	325976.874	278927.6688	204857.5463	358337.5904	554746.7365	555683.4476	390974.4137	460080.7899	428559.0969	236828.1816	521704.4735	372236.7607	175839.8143	229076.6876	507916.7978			384524.1987	412083.951	153094.0563			243228.5577		213490.4954		252573.3498	371092.8481	266971.6826	317563.2567
M126T812	125.9866112	812.47302	15416888.88	14235804.1	27355128.4	15784504.61	50295328.5	26941008.45	13697997.18	125342073.9	16355442.76	38323544.63	18553845.1	24069631.68	36579310.55		20977219.01	27339952.29	21382631.96	23465177.73	16374709.47		15297580.07	21294634.41		38562822.61	21216529.82		15453351.82	15627286.36	108048840.6			19379261.22		15561504.59	33298069.07	14759105.8	35025672.04
M126T888	125.9866123	888.10725		15123323.3		15420871.03	19032256.86	26623209.11		15668772.64	16388848.89	14035683.82	16368233.96	28877450.7	16843946.08	6493623.124	21685642.57	45166254.84	13820196		13790513.23		29463351.34	32716687.83	14991790.99	12021346.65	13444508.25	12994071.92	13971558.91		14154423.26		16453816.53	16268690.31	13822049.43	9046332.714	7358222.386	12918004.31	7628160.982
M126T835	125.9866266	834.93348		15731114.84	26986411.55	38881189.94	23723118.32	19427089.35	24430580.42	23322813.09		21478038.52		22605476.93			11205479.73	18716444.38	20571661.9	23980546.83	43394884.98	13113786.66	23953086.93	22007727.36		17441233.3	21291333.3	15258636.27	35058785.72	17573300.58	13440180.93	17238705.16	19510201.44	27418283.08		9163991.833	26153917.57	34745983.55	24369695.68
M127T812	126.9899623	811.72338	1022313.254	906856.63	827233.4946	599029.1989	784402.7315		531572.8144	752904.092	473396.7017	477496.7228	460366.6157	493926.1549		674102.9586	495686.8289	942449.6334			1399274.265	1051354.916	880031.3201		895430.8257	644592.8283		751178.453		1300575.084	504114.5589	1338317.207	843517.2621	903020.8165	472864.5817	626783.5978	1360085.202	673123.5643	772819.0618
M128T778	127.9725254	777.51981	366887.9716		313274.5859	543049.9075	323854.1726	63595.307	308306.3722	355753.0633	223350.3541		264077.9676	352419.4084			433319.6946		191636.8166	218504.8968	271432.8614	321268.4842	47849.68873	312853.6608	438328.4124	234818.0211	227228.1178	296255.4143	185299.0675		562024.4965	186214.9646	199725.5077	185912.5685	519766.9276		232418.1638	374634.0511	290633.907
M128T95	128.0709551	95.312931			2897356.249	4964090.397	6985010.026		6098906.855	4990348.589	4435994.357	4972559.676	2298024.033	7066690.656	2885361.042		2806167.415	1770246.198		1797305.353	5556432.46	3187483.164	2307060.028	2408200.623	3654581.409	8673099.482	2679506.423	3774784.905	1761874.126	5702077.479		3490236.529	4031041.608	3279602.766	2756543.773	6578026.079		1907168.587	927314.7414
M128T250	128.1073421	250.0818	2099866.2	840880.4074	762592.6202	1344668.277	2248231.851	1246358.082	1245489.418	1146159.015	601296.8462	628502.8835		1512453.76	808430.4094	1060457.022		627964.1928	1716759.494		1256616.74	824012.403	590716.7096	579430.3216		1903651.327	684003.1851	988553.1286	1051873.359	1284786.705	1269809.491	1281546.963	1159442.776	935980.2142	963013.8783	1924014.483			
M129T56_1	129.0297915	55.9392393	204612.7646	581849.5852	710188.5874	316071.7459	484947.5283	649225.7312			1484243.255	1056162.767	702284.3773	217150.853	823162.6056		932573.4891	481639.3801	626539.6021	463685.484		788448.5021	628597.5352	714482.3196			954813.4121	764413.0987	418462.6156	543274.1753	967817.3076	298564.9028		399915.6733	954095.6776	418487.1464	397715.633	431865.2603	200889.6077
M129T228	129.0549825	228.344868		3577501.752	4237027.204	24288706.29	6072246.891		7147305.972	5610838.632	10738201.76	18028308.02	1833804.022	8160820.718	2984278.807	6095009.32	2842190.746	1728012.155	6081685.074	2214766.617		3495210.279	3068648.289	3712264.575	5980873.91	5430069.624	11475512.88	2817827.075		5758170.821	4815968.269		3164807.271	3520409.47	3281453.973		8833475.755	8680972.571	
M129T252_2	129.0605115	252.113118	329391.7181	727069.3054	455054.3752		105374.9027	316660.8732	1044610.757	174042.1046	348422.0741		710455.3833	1109247.986	847664.1668		276363.6726	971234.9206		1086704.69		361149.2738	638464.7812	591964.3056	317918.5699		1020448.338	534257.1711	870090.021	519365.3038	981492.581	529292.0568	284103.2067	1746782.468	321425.3474	288609.4001	126889.8967		571116.845
M129T110_2	129.0662246	109.645074	1717128.148		1112751.459		2101978.475	1362667.681	2479718.113	2178880.902	1447168.058	1242014.51		2260531.704			1900028.81	748866.5359	1856443.6		1467332.503	1101488.112	845675.0877	907579.1073	2030611.088	2670584.673	981962.5423	922910.3624	685581.4163	1684891.026	2103716.736		1839905.039	1879019.636	1173334.336	2210611.273	2568864.915	831063.6147	467076.2386
M130T223	130.0583579	222.922038	254925.702				881629.3448	261649.5381	596162.9986	506299.3838	649742.8687	461822.071	252710.9528	1099970.849	223511.5845	602758.9608	311600.3234	139253.0416		152350.4634	769503.4129	238119.2926	163958.8276		234043.0597	787385.977	212452.2755	442955.2273		827357.7876	544717.4085	286246.0224	253371.6952	459206.377	334316.5531	608237.3355		225136.9239	47063.88082
M130T124	130.0866651	123.501018	1592999.288	1775305.264	1377500.91				3244701.346	2100624.292	3612874.345	1960703.599	1069424.794	3246042.058	1256780.171	1960254.628	1327656.03	935302.8685	2748065.26			1968696.266	1262896.88	1295018.705	1409518.206	3741890.073	1911842.93	1913814.908	1365632.912	3754449.302		2083166.202	1327918.81	2218459.473	1558573.243	4674872.062	2462000.885	1139232.641	
M130T70	130.0866719	70.012569	2306391.728	4330116.442	1956419.053	4001795.981	8577486.707	4928131.229	6791734.605	7528697.745	4996997.137		3466045.453	7285402.407	3831210.39	4333053.525	3254420.464	1502230.522	5444325.006	1732535.13	5399342.577			3884295.004	4517597.579	15587385.55	2721020.45	5979080.702		10317745.72	5197266.818			5033708.775		3587564.284	3877897.281	2137708.272	688834.8264
M134T43_2	133.5626616	42.5049135		54480.05249			43795.05479	79098.37379	51532.85297	124979.6497	50913.34771	70572.3883	176523.7362	85207.99579	98833.53964	59924.92821	142229.0387	50143.24549	60170.97867	117852.6628	48466.532	73158.85222	101538.0166	93618.01007	61809.79505		56510.75243	81675.48824	210705.2167	101163.8208		98669.94517	21022.06729		63960.4829		134295.9815	52052.94757	113379.9382
M134T60_3	134.0815136	59.7467118	1551057.302	3084263.558	2025335.852		3785869.178	2716376.517		2991955.899	2240947.613	2893927.313	2180452.449	3640695.08			2278673.074	1996550.357	2899549.899	1000306.509	3015284.842	1728113.372	1498374.155	1905757.272	2978646.057	6222219.98	1985113.195	4377748.003	1327478.49		2904048.666		5023040.965	2288737.662	1644131.544	3011940.804		1052403.255	628182.3938
M136T154	136.0374128	153.588024	35486.01669		14959.58947	48397.88872	23937.8398	5275.368925	49798.5552		116857.3189	26768.07946	23343.80328	32573.19421	37342.08181	13862.14058	50305.26497	7142.469259	51245.39763	74582.02397	24015.13684	81623.45081	51558.69026	58486.81232	21659.75208	65267.61768		76927.77978	267409.7864	23692.63657	28271.55983	46220.10835				16668.98262	38147.06189	12654.36782	
M137T44	136.9315173	44.2872912	660650.8919	488259.212	443869.1985	67694.5284	195476.1321	1132333.456	123079.7166	2034191.684		244914.9853	873334.5325	269152.0739	358485.4331	202754.1385	1104310.786	1114574.396				179736.898	675430.6592	89193.51628	356904.2676	807422.2551	121150.5251	2442444.708		133879.4606	1087938.861	748876.2412	348489.5475		2438805.603		2225871.966	93124.43974	1254952.786
M137T206	137.0430518	206.412327		33173.1948	79625.75382	243359.3549	129033.5479	171765.5455	155285.2501	110912.9044	48096.03915	25295.20899	59219.02491	215194.1998	177251.2648	299176.924	486902.9514	26376.10725	188331.9407	35553.1384	148338.3011	122683.9434		98541.34168	127871.2016	54108.96352		82372.35653		206985.9671	360907.9313		180061.3547	27495.07052	60070.20248	133088.718		69448.05992	
M137T232	137.0461721	231.533361	169070.2304	173492.1451	93840.29806	168972.7504	204514.9007	141490.714	293879.7742	232734.7628	82175.41023		75844.29329	439323.3835		186985.73			186615.5594		203537.8284	123201.9044	49353.80191		226126.0636	221871.6944	51522.84221	300308.3912	48321.24717		300917.327	114229.2238	410591.6164	207555.8663	163889.5652	176430.1352	367329.9182	49681.94329	35515.57503
M137T252	137.096547	251.816349	1560929.491		2063041.715	6126869.375	10505295.22	3356945.485	5011859.069	7400708.99	3268642.088	1355452.407	1226495.95	7834352.654	2051967.428	7322046.606	1348997.571	1259580.638	6459052.713	1198234.973	5199516.909	4835773.599	2759107.096	2730148.809	2790729.239	9759007.868	1970867.086	1433400.342		5136266.693		1484463.921				3564529.958		1057576.537	543201.8954
M138T235	138.1029585	235.250982		25190.42582		36837.3116	170620.4126	70908.78698	135973.2954	88448.15785	136570.4115	135590.4272	81916.4804	132821.8521		131955.633		72930.85919	124934.2536	56970.47671	100974.7195	79330.92339	50409.55617	25667.06596	38473.92346	151556.42	82582.31318	159183.4688	42636.53769	175439.4509	141088.0716	85146.9998		74598.7267	76365.17785	196607.0168		69952.80088	
M139T82	139.0591861	82.396788	79904.3386	391975.8127	148369.5171	228680.4572	294758.3359	115634.3601	207899.072	269026.14	307470.7095	151578.0383		91576.84624	204296.1278	141335.5804	138227.6335	74737.13544	265102.0737	83892.81959	129808.9652	172199.2248	73704.82016	196157.1773			197605.3035		209055.7442	345702.6025	156000.9833	262758.5306	117297.1738	156108.7719			331189.2299	117686.3494	
M139T294	139.0757687	294.313746	425550.7279	962169.6506	468044.779	1232987.219	2968500.028	794411.7034	2333143.136	1340952.042	836160.7685	706912.1804		1539457.411	497399.0497	1049383.649	597793.0051	363754.7708	1163197.14		1169436.671	915746.8011	561694.1027	414815.7141	903872.9349	1331709.913	608523.0406	561759.9678	176083.9524	550959.7673			966271.1512	1340970.825	660701.9329	1233956.263			
M139T103	139.1234553	103.207164	56206.09613		141817.2161	251494.8406	401334.7354	218853.6984	292687.8779	286539.8581	229699.1915	401950.4323		318451.0856	215589.5299	346598.3563	123702.6917		343849.2002		267865.6057	169461.6232	58384.92291		173250.1146	650159.8505	224795.8388	211815.2916	190990.8759	298817.9835	239209.5198		231059.8529		118673.8521	398194.5971	392660.1638	70211.29602	56410.43458
M140T72	140.0346389	71.61522	5502167.741	8303031.987		13251467.77	19302854.68	8478001.803	16138378.1	12934521.85		9301542.048	4331231.473	19116154.43	6682236.308	16216530.43	5762428.645	5619357.014	13958566.13		14434413.78			6257826.457	11155588.74	15629675.27		8198276.973		13494221.25	13643184.47	7836441.215	7728068.489	7833896.418	10195121.04	14331254.76	4719812.917	3510160.222	1664414.239
M140T776	140.0685917	776.20128	11272698.91	11963698.67	12443430.32	11185855.85	9873671.027	14024655.09		12207979.26	10146209.5	11864709.67	9278704.087	12869331.12	11976869.77	12485203.8		9132617.234	11976331.08	13492601.36	9327275.068		12317933.48					13045408.94	12152693.45	11208516.09	15254229.59	11870965.74	9007375.395	9040588.565	14200440.23	12037792.49	9351383.228	10734888.51	12905548
M140T63_3	140.0821635	62.541144	170299.1481	368538.0126	247035.7263	462151.811	537036.6991	303711.7679		490069.7925	255999.9151	336288.1129	255246.1634	542384.6898	332026.386	470271.6204	240699.0289		412870.4132	122450.7886	380150.7959	295473.2585	306389.2486		475316.331		267887.2013	264856.2038		437918.6681	449297.414	407762.8852	574607.1982		242075.0811	562558.0186	564705.1754		131928.1884
M141T110_1	140.5525346	110.393565			155646.0837	254339.9534	191644.3449	95340.61158	75973.32721	81728.55567	132079.0261	87386.79433		139416.6656	71054.93705	97051.2484	121790.841		149071.4879	54264.2622	103197.5197	116572.8416	48049.54956	250179.8713	70906.59736	228823.0749	83906.84202	79387.97565		144682.0608			77530.34426	66537.66998	83245.74243	154493.8484	171930.3661	57555.83825	22881.00797
M141T111	141.1026821	111.16656	833757.4708	1235220.108	797753.9302	1557379.4	2069909.173	756513.2998			1498416.129	1544301.684	612499.4124		819631.1254	1158800.291	416871.6756		1975807.74	552929.2506		1117466.336	671222.2401	923772.6871	615408.1679	3674012.479		1068544.63	828058.7475	2254530.835	1637794.908	1383937.065	899743.7289	1616336.533	627474.7759		1272587.47	1242260.889	234106.4398
M142T53	142.0634833	52.7257056	223696.346	343591.6658	234194.1536			541867.3187	234700.0451	536189.8086	147635.5052	272716.0465	107011.3623		279404.6577		481672.5136	217469.6119		113133.0118		374258.6325	333608.4709	994746.1549	690628.4895	1264027.319	309030.7213	179182.8195	238557.6213	306215.9411	861447.106	295868.4232	826093.8216	826924.3118	386101.5551		1268476.772	212437.499	31863.40893
M143T45_1	142.9188194	44.8712661	94100.83416	30272.37802	648197.9352	153048.3391	181384.0228	69008.73483			353741.1324	234006.8159	176537.9508		155672.1284			139177.4915	250598.7391	237107.3934	415166.4698	282288.1622	552436.3138	81391.59994	44903.61555	126543.3747	350306.305	52510.13824	319051.4994	374248.8697	262372.7563	414545.9086		185348.6232	499874.099	502838.7659		487260.4464	87869.94643
M144T83	144.0659864	82.799589	8870446.062	17845364.2	13137059.2		25622733.48	17827811.35	61271818.47	47617701.96	27583167.14	60947558.31	23302854.85		11576423.26	29789033.25	14250286.65	7114246.08	43951541.87	5918983.14	19031760.7	122142196.9	57504844.47		24255065.76	85778481.3	16031581.08	19602220.36	22357528.61	41346087.35	33474630.53	21745924.84			14037827.19			6913185.071	2524041.227
M144T625	144.0844044	625.49544	57660861.01	91847297.85	141397134.8	57929568.61		128573776.2	61370272.62	68236155.9	76676942.16	207864743.6			182795778.6	65831490.48	53601292.96	101306383	78457601.55	75218322.41	101671090.7	152954152.1		60125003.18	58926025.98	114742032		111168040.3	135905767.9	90314405.8		258307833.4	72440455.06	60159279.69	40688012.45	71948137.81	63929803.34	142382053.7	
M144T647	144.0844142	647.01528	106264308.1	170094016.8	89055823.23	158694798.8		81487787.48	146147862.2	88991558.9	91996777.71	104356081.3	286965207.3	140117615.5		97791740.6	64340425.54		94621307.36	98335748.51	154543578.4	90058597.47		93887000.25	156757670.8			76128922.1	114068977.6	152554031.5	78352497.66	139035152.7	92813227.57	148998540.4	111329779.6	98735913.83	131570334.4	176555688.8	
M144T63	144.1217332	63.22995	1831083.362	2340320.206	2487707.977	845581.5242	4365305.441	2228172.805	3792763.801	3567167.294		2651170.505	3012173.829	5697800.949	2439087.036	4127829.007	1731200.314		2909753.442	1208338.752			1905560.642		3025765.843	3689412.026	1877222.813	2293900.323	310620.2776	3503006.391	2806425.268	2993425.126		2051047.651	1832830.376		3072122.794	1103097.575	996490.8587
M144T1	144.1385959	1.2573159		63405.50511	29292.36428	53621.69392		78987.87835		38847.4307	42875.69107	68080.7274	65943.81602	63868.15674	46259.25418	67670.65751	69978.15094		58079.2198	53157.45913	52905.56655	46688.28641	49137.47193	32321.1058	89322.38004	78156.64301	64392.04469		48003.58103	40667.70378		75665.78364	63640.07046	41407.71464	74583.64095	69166.04215	51504.42913		32083.94673
M145T65	145.1016226	65.310837	623050.4275	1327992.84	1106936.362	2092453.191	2196653.359	699311.5198	1539795.109	1085543.023	1728219.491	2098498.258		1006478.749	948419.9383	2100402.263	870059.4732	499921.1775	1901276.066	687752.5866	1738903.828		753075.8969	1208331.749	1543158.566	2950301.691	1320704.475	1383862.105	578386.9431	1985915.583	1053848.745			836289.6356	538391.0365		1018377.427		
M146T79	146.0533389	79.365624	1473476.897			1313737.857	3272573.355	754265.4905	3203209.641	1150119.144	2092683.53	780110.3278	449375.0932	3290432.136	1050248.825	2430097.004	796473.9416		1090350.269		2284488.079	549764.6046	476828.3671			1569624.041		1518006.804	737575.2885	3229182.201	4479340.392	799492.0465	750475.7192	680432.5293	1915245.623	1680096.225	861371.356	905446.4657	331814.3271
M146T72	146.0547098	72.462342	223455.8319	213103.1366	156931.7618	1098893.545	205317.7482	631194.8886		898749.8403		883486.1514	291698.2907		576802.9051	948742.4798	451380.4676	409804.7068	852052.433	365362.064			312543.1696	754311.8753	211438.7438	198778.1225	415274.6821	98538.81522	89723.9915	138444.1582	201978.6642	251693.2156	419211.4535	207054.3647		156959.7419	909917.36	50714.21493	
M146T43_3	146.4880628	42.683955	33425.82581		114002.5288		247013.7386	155673.3241		197844.0529	168448.8999	145659.2352	84418.7621	104941.2505	140544.0044	45953.27942	74510.07636	98209.30187	131018.6016	22028.87953	170901.4427	95437.08914	126599.5004			333759.5027	92966.49459	232051.5694	132301.9117	135137.8702	64241.98088	140643.8345		305234.6677	145215.4733	108848.0225	285918.7571	68181.97041	
M147T254	147.0444324	254.168919	22347194.09	7701768.215	2703503.255	7554447.888	8192072.497	6394895.371	7272449.523	5047880.983		4290333.553	1668276.166	12568701.51		6461207.958	2963445.6	5447324.227	6666302.34	2944927.695			10661739.58		39114894.72	7519893.541	4639898.526	8407489.119	7007785.641	19935995.77	4361317.25		5606725.74		4817053.712	14101355.01	16344484.85	1801350.609	5535783.292
M147T112	147.0657124	111.882069	1311680.554		1019697.087	2378889.214	3008529.807	1353715.447	2687374.511	2232975.242	1924786.884	1712594.586	976282.9786	5216399.764		2827355.843	791306.3919	827439.249	2140152.482		2719250.756	1114453.71	796436.8243	785523.79	1585711.283	3532442.276		1859885.116		2603038.421	2464588.959	1957510.824	3264896.917	2092277.498	1385599.66	3335734.225	4042542.652		
M148T81_1	148.0397143	81.074568	1809366.992	962784.6998		1238659.075	1116375.637	911484.5569	1004076.129	1063656.431	764735.6046	898528.7671	447303.8131	2108625.195		1304505.878		458916.3812	1234611.349	484115.6536	1078055.564	753400.6788	582372.137			1265287.747	511736.034	966913.7326	532946.736	980273.6634	1446144.817	762843.0824	1365994.242	1213612.84		1660065.85	1290293.923		327635.7363
M148T180	148.0608255	179.682138	651123.2798	588879.6972	470455.8655	823317.3015	977006.3795	709736.9879	863572.7002	769282.1861	765817.9693	996717.0479	710479.5259	1940949.891	747678.2467	1147536.781		282039.4634	1083434.185	308763.0268	1716935.935	629138.3416	551680.4044	531266.166	825955.8413	1965331.391	332476.5679	668265.873		802324.0782	1181466.817	1104695.59	837335.1725	638953.5748					
M148T270	148.0760519	269.783601	3530372.6	5348748.025	16346361.47	14418340.23	15935905.48	4258557.852	13721426.62	18501470.4	6841342.609	5879135.422	1982725.903		4572887.397		6228103.181	1735220.299	9641492.577	3330526.079	7262905.285	7737563.382		7433508.901	4848776.662	10282097.82	5506155.189	2902312.315	1451436.913	4887229.538	8981374.954	5096421.17				19353489.8	47194436.43		1185623.796
M149T364	149.023725	363.547722		474263.4688	522300.3452	578366.0553		853244.3219	541191.2548	518764.0696		500126.8458	469444.4402			442849.1053	465573.1331		494632.339	428097.6597	538942.2781	473688.5125	494067.9882	542329.8781	447744.9176	492600.5937	490943.7371	467233.4655	540414.6151	504320.5	487451.8299	770879.6663	449720.9507	514861.6475	484893.6403	708693.313		554139.6041	556373.0819
M149T303	149.0965644	302.848518	894855.3533	529604.5533		905391.3741	2105452.89	3138988.017	4622968.449	979688.8507	935764.6033	752573.0095		2710731.303	408855.7442	2085367.663	453915.3733	1426468.66	1135082.154		2140402.312	515569.376			745319.8436	3050600.878	2186030.728	1956687.835		950966.7509	2057685.79	580060.7268	860810.1536	1086069.089	1347406.957	5297812.543	997275.3939	249908.3027	
M150T43_3	149.988731	42.6841104		52685.31987	108314.8062	140230.2998	236702.0389	166016.0878		247928.0364	300273.5786	174717.4497	208860.6677	120335.5069	217507.8569	39227.92287	154684.8016	153377.3784	221766.078	83937.26014	112352.7299		104530.3169	124794.8442		184491.9521		555268.1951	145676.2484	341104.3159	197614.2689	337837.2582		349722.8875	166215.8423	283746.5332	267917.1377	130221.3333	
M150T48	150.0068638	47.8443852	687324.2524	1827391.876	1166480.727	1236504.713		1618203.498	538881.805	1101565.046	1629591.267	862258.2206	1235518.928	1029893.07	1357281.494	861895.331	1632717.357	459859.7435	1400983.89	581295.0441		940639.6386	1031519.249	3076547.009			2736204.95		815080.2891		638832.8398	669462.8379		561340.7418	144937.8412	58988.79361	1292372.701	544952.3333	128413.4593
M150T156	150.0385114	156.007182		47083.1958	40198.46225	71671.47461	56930.49861		32332.20525	47053.37335	44433.7808	104755.5822			266376.7959	61167.33019	123762.3583	96436.07465	218769.5272	44699.97811	115498.2451	12022.04465	34943.22774	37007.42378	14788.67078	140483.0429		28321.94428	16573.17055	88439.06033	107829.2032	115279.9084	97503.75354	232362.3311		368730.6222	500323.3438	28420.88255	
